10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
0.381,0.772,0.942,1.242,1.934,2.504,3.026,3.396,5.23,4.428,5.42,5.28,9.037,6.843,6.733,8.056,9.257,9.629,9.588,10.86,12.334,11.692,12.634,13.255,12.534,15.53,16.661,15.69,15.83,15.449,17.033,17.904,18.896,19.367,18.846,21.501,23.916,21.861,22.323,22.613,23.615,27.973,27.272,25.919,27.262,26.962,29.606,27.522,28.825,31.149,31.439,30.728,33.483,33.374,32.242,34.976,33.384,35.397,36.259,36.5,37.151,42.601,38.283,41.219,42.961,42.401,40.196,43.833,43.543,49.294,44.404,44.716,45.056,48.993,51.438,47.08,48.933,52.6,51.919,49.875,57.639,54.153,55.045,57.6,60.685,61.227,58.641,62.549,62.249,61.638,62.7,63.07,58.902,63.06,63.1,60.946,66.387,68.13,63.631,68.43
0.361,0.691,1.102,1.563,1.743,2.625,2.996,3.327,3.887,4.389,5.27,5.891,7.704,7.374,6.753,8.626,7.845,9.458,9.478,10.46,11.332,11.261,11.672,12.914,13.445,13.536,15.409,14.137,17.684,17.744,16.892,18.224,17.964,19.878,20.019,20.91,21.471,22.473,21.832,28.965,23.645,23.535,25.198,28.604,24.787,27.853,27.492,30.178,28.584,36.169,30.458,31.4,32.311,35.378,33.214,35.788,33.975,36.159,35.297,38.182,38.373,40.637,40.958,41.138,39.786,43.102,42.1,44.124,51.648,46.429,42.561,44.695,46.047,46.679,46.178,48.903,52.56,50.997,52.83,53.241,52.851,54.303,56.888,54.855,57.309,53.481,54.794,59.363,57.921,59.233,59.673,64.222,67.148,69.943,70.675,66.627,62.62,69.202,66.006,66.296
0.34,0.701,1.172,1.452,1.763,2.755,3.026,3.336,4.138,4.519,5.12,5.15,6.142,6.332,7.103,7.614,8.256,9.408,9.528,10.781,11.441,11.321,12.383,12.664,13.075,14.147,14.036,15.629,15.55,16.661,16.712,18.345,18.355,20.459,21.13,19.407,20.64,21.45,22.723,25.058,24.928,26.07,25.518,26.911,26.841,28.264,28.875,29.356,29.847,29.166,29.085,30.458,31.55,32.001,34.375,33.433,35.327,35.487,36.61,35.418,45.366,37.181,40.948,41.229,41.459,40.687,42.872,44.154,46.568,45.377,48.352,49.304,47.06,47.68,49.684,50.556,46.168,51.027,51.388,52.129,54.353,54.153,56.718,56.658,55.336,59.693,62.028,69.011,59.614,60.956,61.157,63.821,66.957,67.077,63.19,65.565,68.1,70.995,72.247,68.2
0.291,0.721,1.052,1.553,1.943,2.465,2.995,3.186,4.409,4.258,5.27,5.3,6.592,7.384,7.585,7.965,9.027,9.037,9.548,10.6,10.81,11.663,12.554,12.835,12.795,13.625,14.097,15.73,15.97,18.174,18.095,19.397,18.335,20.188,19.337,20.299,21.611,21.731,22.523,22.182,24.597,25.619,25.408,26.46,25.388,27.592,28.324,29.096,29.066,31.109,29.126,33.514,34.315,32.502,36.089,35.898,37.962,35.888,36.059,38.333,38.924,37.301,42.682,43.252,42.28,44.525,42.41,43.713,43.843,45.446,46.759,48.502,47.12,48.512,46.739,49.284,47.691,49.975,48.923,51.528,50.255,58.772,54.583,58.491,57.72,56.868,57.109,58.842,58.912,62.269,59.914,62.779,64.362,66.607,64.974,64.292,66.917,67.549,71.036,68.891
0.341,0.712,1.042,1.463,1.963,2.354,3.156,3.737,4.168,4.999,5.129,5.731,5.761,7.004,6.843,9.008,8.516,9.367,9.387,9.939,10.51,11.873,13.135,12.234,13.566,14.227,15.349,15.66,18.715,16.752,17.192,17.313,19.778,20.519,22.984,20.839,22.293,21.981,23.766,23.134,24.597,24.677,25.028,26.952,26.29,26.23,28.664,29.015,32.171,29.816,29.195,32.682,31.269,33.714,36.009,34.976,35.799,39.194,34.375,42.681,41.83,38.573,43.112,43.874,39.295,40.577,41.769,43.442,45.276,45.016,46.819,45.817,45.417,47.15,46.448,48.843,49.193,50.366,53.381,51.357,53.812,55.475,57.589,57.329,57.619,58.452,57.629,57.53,59.252,61.537,69.632,63.531,64.734,63.35,63.511,63.882,67.308,67.588,72.699,70.715
0.34,0.652,0.992,1.493,2.024,2.364,3.156,3.256,4.288,4.739,5.209,5.26,6.622,6.362,9.669,8.276,8.446,8.857,9.728,10.099,10.74,11.392,12.794,13.436,14.077,15.299,14.488,15.279,15.079,16.401,17.543,17.803,19.127,18.175,20.479,20.579,20.94,23.294,24.356,23.043,23.916,23.294,25.148,27.402,27.302,25.709,30.207,27.743,29.676,29.346,31.7,31.971,34.075,33.554,34.646,38.042,35.568,34.556,40.817,38.734,39.756,38.714,37.541,40.798,42.3,46.238,42.872,40.978,43.744,44.024,45.587,49.915,47.63,45.918,51.197,45.687,51.067,50.326,48.933,54.063,55.095,59.133,56.557,56.758,56.718,54.393,61.527,58.572,59.192,62.249,61.497,61.297,62.97,61.878,63.561,65.805,66.096,62.819,69.693,71.857
0.231,0.641,1.092,1.422,2.074,2.495,3.126,3.506,3.667,4.489,4.949,6.092,6.201,6.693,7.263,8.637,9.318,9.569,9.719,10.48,11.261,11.532,12.343,13.696,13.345,14.177,14.729,14.418,16.681,28.675,17.674,23.084,17.874,19.247,19.938,22.503,23.886,22.493,21.34,24.427,25.068,25.077,26.28,26.431,26.53,28.975,27.232,29.336,30.639,30.438,30.588,30.939,31.509,32.421,36.089,35.828,35.037,36.119,35.458,38.774,38.664,39.465,39.165,38.944,39.214,41.238,41.239,43.433,42.832,45.246,46.658,44.504,48.662,47.821,50.096,49.825,49.665,55.616,53.792,52.26,54.914,56.007,56.778,55.035,58.261,58.16,59.453,61.868,55.245,61.236,59.493,60.715,71.136,65.424,64.162,68.239,71.015,68.12,66.507,68.37
0.311,0.912,1.312,1.483,1.924,2.224,3.056,3.456,3.737,4.609,4.879,5.691,6.022,7.114,6.843,7.845,8.236,10.009,9.949,10.05,10.891,11.612,13.005,12.023,14.518,13.586,15.97,14.648,16.642,16.432,18.705,17.764,18.275,19.397,20.078,20.479,20.639,22.773,22.342,22.413,23.765,23.786,24.837,27.081,27.422,29.516,29.456,28.134,28.925,31.209,32.822,33.504,30.989,35.137,32.302,33.644,36.239,34.355,36.31,41.368,38.934,38.423,40.286,42.561,43.022,42.671,47.18,43.774,46.138,43.954,44.374,45.536,49.624,47.34,49.144,50.175,51.588,50.887,49.174,51.058,51.849,53.341,53.983,56.608,56.457,57.8,59.163,66.316,61.817,62.609,63.341,64.343,62.088,72.328,70.033,68.951,63.661,64.803,65.054,71.486
0.311,0.952,1.032,1.764,1.944,2.515,3.056,3.657,4.298,4.158,5.4,5.461,6.101,7.083,8.035,7.915,8.757,9.618,9.388,9.939,11.412,10.971,12.223,12.964,13.536,13.866,14.317,15.59,16.471,15.339,18.115,17.513,18.225,20.399,20.649,22.864,21.872,22.673,22.202,22.633,23.585,24.566,28.514,28.724,27.973,27.663,29.857,30.698,28.454,32.862,33.744,31.88,32.713,32.692,33.644,33.704,35.969,35.507,37.762,40.057,38.523,38.463,38.193,40.296,40.296,44.114,43.122,47.861,43.202,42.981,45.747,45.186,47.149,45.496,48.973,51.377,48.973,51.608,57.98,52.139,52.249,50.937,53.472,60.535,60.835,56.728,58.19,57.559,56.527,62.879,61.777,65.404,64.372,63.962,65.715,63.14,79.01,68.751,75.193,67.118
