Tamanio,Insercion,Burbuja,Seleccion,Shell,Mezcla,Rapido,Monticulos
10,0.15305,0.279325,0.228348,0.273056,0.513356,0.292072,0.43151
20,0.363752,0.969825,0.637573,0.695235,1.19132,0.675195,1.16514
30,0.606495,1.89517,1.1286,1.07162,1.85667,1.06337,1.89024
40,0.954797,3.18342,1.78948,1.69865,2.59242,1.51904,2.742
50,1.36439,4.68615,2.56852,2.20914,3.42263,1.99561,3.64613
60,1.86017,6.35969,3.45767,2.75493,4.14965,2.4795,4.58304
70,2.4133,8.27397,4.43737,3.37852,4.97905,2.98869,5.53425
80,3.04952,10.42,5.51062,4.35412,5.66963,3.52294,6.50361
90,3.76763,12.6295,6.72579,4.69058,6.56169,4.05114,7.49549
100,4.53404,15.0727,8.05358,5.49828,7.4087,4.56185,8.51739
110,5.40016,17.6426,9.46895,5.99818,8.15889,5.16658,9.56592
120,6.38877,20.5781,11.0375,6.87379,8.98885,5.6881,10.5921
130,7.33202,23.2943,12.6804,7.95534,9.81945,6.28017,11.7178
140,8.40123,26.366,14.371,8.25707,10.8253,6.86921,12.8229
150,9.52573,29.7696,16.2529,9.07844,11.6585,7.41294,13.9287
160,10.8142,33.3279,18.1463,10.8471,12.3313,8.0182,15.0174
170,12.137,36.902,20.1838,10.8391,13.4634,8.67068,16.1484
180,13.5101,40.7889,22.353,11.4908,14.2818,9.24868,17.2911
190,14.9446,44.6952,24.6881,12.0349,15.0965,9.86369,18.4372
200,16.549,49.0303,27.0249,13.6637,16.1721,10.448,19.5901
210,18.0979,53.2329,29.4113,14.0348,17.1343,11.0814,20.7802
220,19.7814,57.7756,31.9672,14.539,17.8984,11.6925,21.9442
230,22.0278,63.7463,35.4739,15.9693,19.0959,12.5895,23.4602
240,23.3119,67.2202,37.3824,16.976,19.6948,12.9908,24.3633
250,25.2649,72.1818,40.2312,17.0989,20.5356,13.6405,25.5847
260,27.3725,77.5752,43.2418,19.5323,21.4833,14.3536,26.7702
270,29.4718,83.1776,46.3213,19.3497,22.6211,15.0016,28.025
280,31.6216,88.4544,49.36,20.1793,23.5692,15.5809,29.1583
290,33.8821,94.3454,52.6019,21.6295,24.3245,16.285,30.3966
300,35.953,100.397,56.0366,21.7083,25.5336,16.9133,31.6405
310,38.5714,106.474,59.5082,22.54,26.2623,17.588,32.8847
320,40.9997,112.459,62.9282,26.5843,26.8263,18.2903,34.1229
330,43.6017,118.973,66.4894,25.2487,28.2124,18.9468,35.3592
340,45.9875,125.701,70.3466,25.6249,29.1754,19.6521,36.6973
350,49.0065,132.872,74.544,26.2648,30.1403,20.344,38.0565
360,51.7161,139.296,78.1668,27.7639,31.0042,20.9573,39.1621
370,54.5665,146.475,82.124,28.497,32.0024,21.6461,40.3782
380,57.5209,153.975,86.2599,28.8208,32.6657,22.3066,41.6821
390,60.6652,161.613,90.5834,32.8011,33.6972,23.069,43.0227
400,63.5421,168.722,94.972,32.3664,34.9167,23.7746,44.2505
410,66.7522,176.913,99.2608,32.2244,36.1652,24.4537,45.5441
420,70.0771,184.867,103.892,33.113,36.9969,25.0887,46.8636
430,73.0156,192.887,108.553,33.5353,37.9846,25.7814,48.1961
440,76.6592,201.138,113.352,34.8354,38.7364,26.6499,49.4315
450,80.2581,209.698,118.109,38.3514,39.3613,27.1973,50.7844
460,83.8245,218.584,122.945,37.063,40.6909,27.9615,52.0152
470,87.4724,227.205,127.906,37.518,41.7584,28.6071,53.3712
480,91.6501,236.871,133.227,40.3174,42.6208,29.4688,54.7271
490,95.09,245.601,138.385,39.6003,43.6469,30.1569,56.0182
500,99.3504,255.364,143.727,40.4455,44.4978,30.8376,57.321
510,103.348,264.866,149.263,40.8724,45.1486,31.4764,58.6641
520,107.868,274.949,154.671,45.7844,46.6116,32.2713,59.9587
530,111.329,284.64,160.305,45.2494,47.855,32.9396,61.3171
540,115.837,295.802,165.856,45.2588,48.9389,33.7082,62.6646
550,120.447,304.769,171.756,46.1929,49.9732,34.3977,64.0257
560,124.552,315.529,177.663,47.6262,51.0789,35.152,65.3354
570,129.255,326.534,183.632,47.6071,51.9204,35.8474,66.6474
580,134.083,337.284,189.928,50.3744,52.8595,36.581,67.9802
590,138.308,348.248,195.967,49.7901,54.1196,37.333,69.3505
600,142.235,359.093,202.412,51.0207,55.1793,38.0843,70.7232
610,146.976,370.746,208.751,52.8832,55.9176,38.8409,72.0973
620,152.168,382.05,215.182,52.5489,56.9917,39.6328,73.2726
630,156.633,393.815,221.931,53.4968,57.6966,40.3022,74.8371
640,161.962,405.724,228.598,64.2468,58.0202,41.0865,76.0857
650,165.883,418.185,235.361,58.8295,59.5451,41.6785,77.5606
660,170.332,430.383,242.271,58.536,60.8605,42.4468,78.9181
670,177.183,443.273,249.499,58.8807,61.9005,43.3442,80.3408
680,182.32,455.148,256.485,60.0772,62.8165,44.1013,81.5895
690,187.184,467.84,263.63,60.9882,64.0307,44.757,82.978
700,193.838,480.851,270.848,61.0661,64.9126,45.6997,84.4126
710,197.722,493.939,278.183,64.0417,65.9287,46.1334,85.7665
720,203,507.222,285.677,64.7339,66.978,47.0721,87.2026
730,207.482,520.989,293.135,64.0111,68.0479,47.7321,88.5525
740,213.492,534.726,300.992,65.7588,68.7792,48.5478,89.9867
750,219.736,548.246,308.656,65.6015,69.6566,49.253,91.4179
760,225.282,562.642,316.456,67.7928,70.5519,49.9221,92.7778
770,230.48,576.956,324.469,82.9834,71.2288,50.7387,94.2083
780,237.118,590.772,332.675,74.9479,72.7144,51.5793,95.5617
790,243.701,605.329,340.672,73.3773,74.0647,52.3076,97.0426
800,251.619,620.043,349.125,75.8214,75.2611,53.1355,98.2936
810,256.949,634.966,357.526,73.9044,76.5881,53.805,99.6258
820,262.919,650.606,366.105,74.6356,77.6585,54.6085,101.084
830,268.194,665.429,374.602,74.9068,78.3404,55.3557,102.469
840,273.144,680.922,383.094,76.8847,79.5874,56.0044,104.043
850,280.959,696.055,391.867,77.4662,80.6225,56.9835,105.349
860,289.648,711.987,400.88,77.2667,81.5909,57.7002,106.793
870,294.668,728.008,409.805,79.1509,82.4709,58.3686,108.221
880,301.59,743.851,418.809,81.5895,83.3977,59.2771,109.581
890,305.731,761.529,428.412,80.7848,84.1625,60.0645,111.112
900,312.935,777.2,437.22,88.2522,84.8247,60.8381,112.597
910,319.824,794.902,447.018,85.9949,86.3282,61.5518,114.144
920,326.464,812.702,456.818,86.1238,87.5893,62.384,115.516
930,334.415,828.122,465.58,88.0355,88.6781,63.1606,116.815
940,341.939,847.112,476.212,86.979,89.852,63.9311,118.329
950,348.975,864.159,485.821,87.9355,90.9763,64.7246,119.814
960,356.709,881.686,495.575,95.3758,91.5971,65.5232,121.318
970,366.15,899.687,505.787,90.5925,92.7239,66.2285,122.849
980,371.239,916.857,516.7,91.3682,93.8473,67.2512,124.303
990,379.987,935.688,525.713,91.0131,94.7109,67.9163,125.642
1000,386.888,954.499,536.222,94.0615,95.5043,68.7999,126.96
